date,user_id,feature1,feature2,leak_te,target
2024-01-01,user_001,0.5,0.3,0.8,1
2024-01-02,user_001,0.6,0.4,0.8,1
2024-01-03,user_002,0.3,0.7,0.2,0
2024-01-04,user_002,0.4,0.6,0.2,0
2024-01-05,user_003,0.8,0.2,0.9,1
2024-01-06,user_003,0.7,0.3,0.9,1
2024-01-07,user_004,0.2,0.8,0.1,0
2024-01-08,user_004,0.3,0.9,0.1,0
2024-01-09,user_005,0.9,0.1,0.95,1
2024-01-10,user_005,0.8,0.2,0.95,1
2024-01-11,user_006,0.1,0.9,0.05,0
2024-01-12,user_006,0.2,0.8,0.05,0
2024-01-13,user_007,0.7,0.4,0.75,1
2024-01-14,user_007,0.6,0.5,0.75,1
2024-01-15,user_008,0.4,0.6,0.3,0
2024-01-16,user_008,0.5,0.7,0.3,0
2024-01-17,user_009,0.8,0.3,0.85,1
2024-01-18,user_009,0.9,0.2,0.85,1
2024-01-19,user_010,0.3,0.8,0.25,0
2024-01-20,user_010,0.2,0.9,0.25,0
