Serial Number,Stock Symbol,Company Name
1,ENGROH,Engro Holdings Limited
2,MARI,Mari Petroleum Company Limited
3,OGDC,Oil & Gas Development Company Limited
4,HUBC,The Hub Power Company Limited
5,LUCK,Lucky Cement Limited
6,PPL,Pakistan Petroleum Limited
7,EFERT,Engro Fertilizers Limited
8,MEBL,Meezan Bank Limited
9,SYS,Systems Limited
10,PSO,Pakistan State Oil Company Limited
11,MTL,Millat Tractors Limited
12,FCCL,Fauji Cement Company Limited
13,SNGP,Sui Northern Gas Pipelines Limited
14,DGKC,D.G. Khan Cement Company Limited
15,MLCF,Maple Leaf Cement Factory Limited
16,ATRL,Attock Refinery Limited
17,SEARL,The Searle Company Limited
18,PAEL,Pak Elektron Limited
19,SAZEW,Sazgar Engineering Works Limited
20,PIOC,Pioneer Cement Limited
21,FABL,Faysal Bank Limited
22,GHNI,Ghandhara Industries Limited
23,GAL,Ghandhara Automobiles Limited
24,PRL,Pakistan Refinery Limited
25,HCAR,Honda Atlas Cars (Pakistan) Limited
26,FFL,Fauji Foods Limited
27,AVN,Avanceon Limited
28,NETSOL,NetSol Technologies Limited
29,TOMCL,The Organic Meat Company Limited
30,OCTOPUS,Octopus Digital Limited
