brand,categoryId,code,description,imageUrls,instantDiscount,licenses_fda,licenses_fdaAds,licenses_tisi,name,variantOptions_option1_name,variantOptions_option1_data_value,variantOptions_option1_data_imageUrl,variantOptions_option2_name,variantOptions_option2_data_value,variants_barcode,variants_onHandNumber,variants_options_0,variants_options_1,variants_price,variants_sku,variants_weight
Nike,1,NIKE-AIR-001,High-quality Nike Air Max running shoes with superior comfort and durability,https://obs-ect.line-scdn.net/r/ect/ect/cj0tMnU1aHQ3Z2xuM2cxZSZzPWpwNiZ0PW0mdT0xaTJiM2VyZXM1YTAwJmk9MA,50,G 50033/67,ฆอ. 1/2563,1040-2541,Nike Air Max Pro,color,Black,,size,42,NIKE-001-BLK-42,25,0,0,2999,SKU-NIKE-001,0.8
Adidas,1,ADIDAS-UB-002,Premium Adidas Ultraboost sneakers for athletic performance,https://obs-ect.line-scdn.net/r/ect/ect/cj0tNGIyY3Zmc3Azc3ZuYSZzPWpwNiZ0PW0mdT0xZzM3M281MWszODAwJmk9MA,75,G 50034/67,ฆอ. 2/2563,1041-2541,Adidas Ultraboost 22,color,White,,size,41,ADIDAS-002-WHT-41,18,0,0,3499,SKU-ADIDAS-002,0.9
Samsung,76,SAMSUNG-GX-003,Latest Samsung Galaxy smartphone with advanced camera system,https://obs-ect.line-scdn.net/r/ect/ect/cj02cWk3c3Z0aWlvNzM4JnM9anA2JnQ9bSZ1PTFnMDM1MW12azUxMDAmaT0w,200,G 50035/67,ฆอ. 3/2563,1042-2541,Samsung Galaxy X1,color,Blue,,storage,128GB,SAMSUNG-003-BLU-128,12,0,0,15999,SKU-SAMSUNG-003,0.2
Apple,76,APPLE-IP-004,iPhone with cutting-edge technology and premium design,https://obs-ect.line-scdn.net/r/ect/ect/cj0tNGIwcG85amI4Y2NqciZzPWpwNiZ0PW0mdT0xZzAzNTFra281YmcwJmk9MA,500,G 50036/67,ฆอ. 4/2563,1043-2541,iPhone 15 Pro,color,Space Gray,,storage,256GB,APPLE-004-GRY-256,8,0,0,39999,SKU-APPLE-004,0.2
Sony,76,SONY-WH-005,Premium Sony wireless headphones with noise cancellation,https://obs-ect.line-scdn.net/r/ect/ect/cj0zMmNnbTd0c3FpYTFqJnM9anA2JnQ9bSZ1PTFnMDM1MWtkbzUxMDAmaT0w,100,G 50037/67,ฆอ. 5/2563,1044-2541,Sony WH-1000XM5,color,Silver,,type,Over-ear,SONY-005-SLV-OVR,15,0,0,8999,SKU-SONY-005,0.3
Uniqlo,33,UNIQLO-UT-006,Comfortable Uniqlo UT graphic t-shirt made from premium cotton,https://obs-ect.line-scdn.net/r/ect/ect/cj0tcjJ1c25iN3JsbTVoJnM9anA2JnQ9bSZ1PTFnMDM1MWpubzUxMDAmaT0w,25,G 50038/67,ฆอ. 6/2563,1045-2541,Uniqlo UT Graphic Tee,color,Navy,,size,L,UNIQLO-006-NVY-L,50,0,0,599,SKU-UNIQLO-006,0.2
Zara,33,ZARA-JK-007,Stylish Zara denim jacket perfect for casual wear,https://obs-ect.line-scdn.net/r/ect/ect/cj0zZzhzZmc5NnJudmpuJnM9anA2JnQ9bSZ1PTFnMDM1MWp0bzViZzAmaT0w,150,G 50039/67,ฆอ. 7/2563,1046-2541,Zara Denim Jacket,color,Light Blue,,size,M,ZARA-007-LBL-M,20,0,0,1899,SKU-ZARA-007,0.6
Nestle,18,NESTLE-CF-008,Premium Nestle coffee blend with rich flavor and aroma,https://obs-ect.line-scdn.net/r/ect/ect/cj03aWExOTVscnRwcGpmJnM9anA2JnQ9bSZ1PTFnMDM1MWswNDM4ZzAmaT0w,30,G 50040/67,ฆอ. 8/2563,1047-2541,Nestle Gold Blend Coffee,type,Instant,,size,200g,NESTLE-008-INS-200,100,0,0,299,SKU-NESTLE-008,0.2
L'Oreal,1,LOREAL-SH-009,L'Oreal professional shampoo for healthy and shiny hair,https://obs-ect.line-scdn.net/r/ect/ect/cj01YmZxdTFwcmRiYm1lJnM9anA2JnQ9bSZ1PTFnMDM1MWVibzViZzAmaT0w,20,G 50041/67,ฆอ. 9/2563,1048-2541,L'Oreal Elvive Shampoo,type,Repair,,size,400ml,LOREAL-009-REP-400,75,0,0,449,SKU-LOREAL-009,0.4
Ikea,76,IKEA-CH-010,Modern Ikea chair with ergonomic design and premium materials,https://obs-ect.line-scdn.net/r/ect/ect/cj0tNG1kcmtmZjI0cG1pbyZzPWpwNiZ0PW0mdT0xZzAzNTFlNGMzOGcwJmk9MA,100,G 50042/67,ฆอ. 10/2563,1049-2541,Ikea Markus Chair,color,Black,,material,Fabric,IKEA-010-BLK-FAB,5,0,0,3999,SKU-IKEA-010,8.5
